Country Code	Region
TWN	East Asia
JPN	East Asia
JAP	East Asia
GIA	East Asia
KOR	East Asia
COR	East Asia
MGL	East Asia
PRK	East Asia
NKO	East Asia
CDN	East Asia
BRU	South East Asia
CAM	South East Asia
CAB	South East Asia
KHM	South East Asia
NBO	South East Asia
MAS	South East Asia
MAL	South East Asia
BIR	South East Asia
MYA	South East Asia
VET	South East Asia
VNM	South East Asia
VIE	South East Asia
INA	South East Asia
INS	South East Asia
THA	South East Asia
LAO	South East Asia
PHI	South East Asia
FIL	South East Asia
PNG	South East Asia
NGY	South East Asia
NGU	South East Asia
SGP	South East Asia
SIN	South East Asia
IHO	South East Asia
ARU	Minorities and Others
COK	Minorities and Others
CPV	Minorities and Others
DMA	Minorities and Others
VIN	Minorities and Others
FIJ	Minorities and Others
FIG	Minorities and Others
VAN	Minorities and Others
FSM	Minorities and Others
GBS	Minorities and Others
GRN	Minorities and Others
TTO	Minorities and Others
GUM	Minorities and Others
TUV	Minorities and Others
TOG	Minorities and Others
TLS	Minorities and Others
ISV	Minorities and Others
IVB	Minorities and Others
IOA	Minorities and Others
TGA	Minorities and Others
TON	Minorities and Others
KIR	Minorities and Others
SWZ	Minorities and Others
LCA	Minorities and Others
STP	Minorities and Others
MDV	Minorities and Others
MHL	Minorities and Others
MLT	Minorities and Others
MAT	Minorities and Others
MON	Minorities and Others
MRI	Minorities and Others
NRU	Minorities and Others
PLW	Minorities and Others
SAM	Minorities and Others
SKN	Minorities and Others
SOL	Minorities and Others
ZZX	Minorities and Others
IOP	Minorities and Others
IOC	Minorities and Others
MIX	Minorities and Others
ROT	Minorities and Others
