Region	Ratio	Year	
Indian Subcontinent	0.030612244897959183	1960	
Middle East	0.009070294784580499	1960	
East Asia	0.034013605442176874	1960	
Western Europe	0.17346938775510204	1960	
North America	0.13718820861678005	1960	
Africa	0.005668934240362812	1960	
Eastern Europe	0.035147392290249435	1960	
Central America	0.006802721088435374	1960	
South America	0.03733031674208145	1924	
Central Europe	0.17081447963800905	1924	
Northern Europe	0.20135746606334842	1924	
East Asia	0.0011312217194570137	1924	
Australia	0.012443438914027148	1924	
Western Europe	0.29298642533936653	1924	
North America	0.24660633484162897	1924	
Africa	0.003393665158371041	1924	
Eastern Europe	0.026018099547511313	1924	
Central America	0.007918552036199095	1924	
South America	0.08708708708708708	2004	
Central Europe	0.11811811811811812	2004	
Northern Europe	0.13313313313313313	2004	
South East Asia	0.0065065065065065065	2004	
Australia	0.08158158158158157	2004	
Indian Subcontinent	0.0005005005005005005	2004	
Middle East	0.013013013013013013	2004	
East Asia	0.13113113113113112	2004	
Western Europe	0.1881881881881882	2004	
North America	0.14064064064064064	2004	
Africa	0.018518518518518517	2004	
Eastern Europe	0.07157157157157157	2004	
Central America	0.01001001001001001	2004	
South America	0.029472241261137764	1984	
Central Europe	0.05483207676490747	1984	
Northern Europe	0.10349554489376285	1984	
South East Asia	0.0006854009595613434	1984	
Australia	0.050034270047978065	1984	
Indian Subcontinent	0.010966415352981495	1984	
Middle East	0.0027416038382453737	1984	
East Asia	0.11514736120630568	1984	
Western Europe	0.25222755311857437	1984	
North America	0.2871830020562029	1984	
Africa	0.008910212474297465	1984	
Eastern Europe	0.07470870459218643	1984	
Central America	0.009595613433858808	1984	
South America	0.0881488736532811	2008	
Central Europe	0.08521057786483839	2008	
Northern Europe	0.10773751224289912	2008	
Australia	0.07982370225269343	2008	
Minorities and Others	0.0009794319294809011	2008	
Indian Subcontinent	0.0019588638589618022	2008	
South East Asia	0.007835455435847209	2008	
East Asia	0.16307541625857003	2008	
Africa	0.02693437806072478	2008	
Western Europe	0.1958863858961802	2008	
North America	0.17091087169441724	2008	
Middle East	0.01028403525954946	2008	
Eastern Europe	0.0455435847208619	2008	
Central America	0.015670910871694418	2008	
South America	0.019148936170212766	1904	
Central Europe	0.01702127659574468	1904	
Western Europe	0.03404255319148936	1904	
North America	0.9127659574468086	1904	
Minorities and Others	0.01702127659574468	1904	
South America	0.008130081300813009	1932	
Central Europe	0.216260162601626	1932	
Northern Europe	0.11382113821138211	1932	
East Asia	0.05040650406504065	1932	
Africa	0.008130081300813009	1932	
Australia	0.011382113821138212	1932	
Western Europe	0.2097560975609756	1932	
Central America	0.0032520325203252032	1932	
Indian Subcontinent	0.01788617886178862	1932	
South East Asia	0.004878048780487805	1932	
North America	0.35609756097560974	1932	
South America	0.00539291217257319	1920	
Central Europe	0.09861325115562404	1920	
Northern Europe	0.3189522342064715	1920	
East Asia	0.0023112480739599386	1920	
Australia	0.00539291217257319	1920	
Western Europe	0.3921417565485362	1920	
Africa	0.016178736517719568	1920	
North America	0.16101694915254236	1920	
Central Europe	0.03482587064676617	1908	
Northern Europe	0.23507462686567165	1908	
Australia	0.0236318407960199	1908	
Western Europe	0.5559701492537313	1908	
Africa	0.0024875621890547263	1908	
Eastern Europe	0.006218905472636816	1908	
North America	0.1417910447761194	1908	
South America	0.016488845780795344	1968	
Central Europe	0.1871968962172648	1968	
Northern Europe	0.24442289039767218	1968	
Australia	0.05431619786614937	1968	
Indian Subcontinent	0.027158098933074686	1968	
Middle East	0.004849660523763337	1968	
East Asia	0.07177497575169738	1968	
Western Europe	0.16197866149369544	1968	
North America	0.1542192046556741	1968	
Africa	0.01842870999030068	1968	
Eastern Europe	0.049466537342386034	1968	
Central America	0.009699321047526674	1968	
South America	0.031496062992125984	1952	
Central Europe	0.24296962879640044	1952	
Northern Europe	0.30708661417322836	1952	
Australia	0.025871766029246346	1952	
Indian Subcontinent	0.01687289088863892	1952	
Middle East	0.01124859392575928	1952	
East Asia	0.015748031496062992	1952	
Western Europe	0.1608548931383577	1952	
North America	0.15073115860517436	1952	
Africa	0.015748031496062992	1952	
Eastern Europe	0.008998875140607425	1952	
Central America	0.012373453318335208	1952	
South America	0.036855036855036855	1948	
Central Europe	0.21621621621621623	1948	
Northern Europe	0.22727272727272727	1948	
Australia	0.019656019656019656	1948	
Indian Subcontinent	0.025798525798525797	1948	
Middle East	0.007371007371007371	1948	
East Asia	0.002457002457002457	1948	
Western Europe	0.23587223587223588	1948	
North America	0.1891891891891892	1948	
Africa	0.004914004914004914	1948	
Eastern Europe	0.014742014742014743	1948	
Central America	0.019656019656019656	1948	
South America	0.00390625	1900	
Central Europe	0.046875	1900	
Northern Europe	0.03125	1900	
Australia	0.009765625	1900	
Minorities and Others	0.06640625	1900	
Western Europe	0.72265625	1900	
Indian Subcontinent	0.00390625	1900	
Eastern Europe	0.00390625	1900	
North America	0.111328125	1900	
Central Europe	0.40397350993377484	1896	
Northern Europe	0.039735099337748346	1896	
Australia	0.013245033112582781	1896	
Minorities and Others	0.039735099337748346	1896	
Western Europe	0.3708609271523179	1896	
North America	0.13245033112582782	1896	
South America	0.07890818858560794	2000	
Central Europe	0.10620347394540942	2000	
Northern Europe	0.1707196029776675	2000	
South East Asia	0.005955334987593052	2000	
Australia	0.09280397022332507	2000	
Indian Subcontinent	0.0009925558312655087	2000	
Middle East	0.010421836228287842	2000	
East Asia	0.1032258064516129	2000	
Western Europe	0.18660049627791564	2000	
North America	0.13846153846153847	2000	
Africa	0.025806451612903226	2000	
Eastern Europe	0.06104218362282878	2000	
Central America	0.018858560794044667	2000	
South America	0.02362869198312236	1972	
Central Europe	0.16118143459915613	1972	
Northern Europe	0.2270042194092827	1972	
Australia	0.02869198312236287	1972	
Indian Subcontinent	0.024472573839662448	1972	
Middle East	0.0033755274261603376	1972	
East Asia	0.06160337552742616	1972	
Western Europe	0.2590717299578059	1972	
North America	0.13924050632911392	1972	
Africa	0.016877637130801686	1972	
Eastern Europe	0.053164556962025315	1972	
Central America	0.0016877637130801688	1972	
South America	0.021468926553672316	1956	
Central Europe	0.15819209039548024	1956	
Northern Europe	0.29717514124293787	1956	
Australia	0.07231638418079096	1956	
Indian Subcontinent	0.03502824858757062	1956	
Middle East	0.005649717514124294	1956	
East Asia	0.02937853107344633	1956	
Western Europe	0.1638418079096045	1956	
North America	0.15480225988700566	1956	
Africa	0.007909604519774011	1956	
Eastern Europe	0.04971751412429379	1956	
Central America	0.004519774011299435	1956	
